date,person,translation,.polarity,p/n,Place
date,user,text,0.0,0.0,place
Fri Apr 30 15:47:32 +0000 2021,mohamed35359481,https://t.co/iclRT5K5Gw,0.0,0.0,Sharjah
Fri Apr 30 15:47:44 +0000 2021,EkLovya_kaushik,#RohitSardanaCan't believe that now we are use thePast tense for him.Ohhh mere baghwaan kuch to rahmm krVery sa… https://t.co/17g6RgFAdr,-0.41666666666666663,0.5,Abu Dhabi
Fri Apr 30 15:47:46 +0000 2021,nagihamad,اليوم ..٣٠ أبريل ٢٠٢١م https://t.co/eqqrdM8abD,0.0,0.0,البريمي
Fri Apr 30 15:47:48 +0000 2021,nouraaljarrah,وداعيّة ابريل 🌄 https://t.co/PuuUILiUf5,0.0,0.0,khorfakkan
Fri Apr 30 15:47:49 +0000 2021,MardomPesare,@inotherhand مرد حسابی توخودت هم اولاش رفیق مابودی دیگه درحد لایک هم با هات کانکشن نیستیم متاسفانه,0.0,0.0,جمهوری اسلامی ایران
Fri Apr 30 15:47:49 +0000 2021,emiratesrc,°°~ كن جزءاً بزرع الفرحة في قلوب الأطفال بتوفير كسوة العيد.كن_التغيير_في_رمضان ، لتروي ظمأهم، وتفرح أطفالهم، و… https://t.co/JaxYODP1HT,0.0,0.0,Abu Dhabi
Fri Apr 30 15:47:50 +0000 2021,fdb24,@_d2ts 🥳🥳♥️,0.0,0.0,الظاهرة
Fri Apr 30 15:47:52 +0000 2021,majidyadollahz1,@foufooll وعده ما ارتفاعات هاشمیه,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:47:52 +0000 2021,psrx,@faizalii10 Wishing you and your family Happy Eid In Advance ❤️✨♥️,0.8,1.0,Dubai
Fri Apr 30 15:47:53 +0000 2021,emiratesrc,Be the reason behind the joy of the children by providing Eid clothing #Be_thechange_inRamadan to quench their th… https://t.co/LfUZfKtTaX,0.2,0.44999999999999996,Abu Dhabi
Fri Apr 30 15:48:03 +0000 2021,MrTech02,@sajidsultan فیشن ہے بھائی، ہزار روپے کا کافی کا کپ پی کر آتے ہیں اور فوٹو اپ لوڈ کرتے ہیں وہاں کچھ مشکل نہیں لگتا،… https://t.co/5mpwP3bG9n,0.0,0.0,Abu Dhabi
Fri Apr 30 15:48:05 +0000 2021,itshud__,@Arkeem_ ♥️♥️♥️♥️♥️♥️.,0.0,0.0,Al Buraymi
Fri Apr 30 15:48:10 +0000 2021,kija_mazeni,@roza_____r 😅🤦‍♀️والا,0.0,0.0,جمهوری اسلامی ایران
Fri Apr 30 15:48:11 +0000 2021,Mohsentinaa,@sghatilpersian @arashmidos9 @bolfazl80 @IsraelPersian از یه بهائی چه انتظاری داری دوست گرامی اینها همیشه خایه لیسی… https://t.co/CfjakTMTzI,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:48:17 +0000 2021,ll_67ll,اللهُم م في يوم الجمعة أرزقنا حلو الحياة ، وخير العطاء وسعة الرزق ، وراحة البال ولباس العافية ، وحسن الخاتمة وارحم… https://t.co/plC3mEzHxL,0.0,0.0,Abu Dhabi
Fri Apr 30 15:48:17 +0000 2021,Legend7716,@roxinism Yes,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:48:22 +0000 2021,bahadorany,@Matin98836578 @Mamareza416 @NaserESP برای دوستمه،،،الان رشته,0.0,0.0,Islamic Republic of Iran
