date,user,coordinates,text,place,bounding_box
Fri Apr 30 15:47:32 +0000 2021,mohamed35359481,no coordinates,https://t.co/iclRT5K5Gw,Sharjah,[[[55.009127 24.732886] [55.009127 25.899765] [56.381699 25.899765] [56.381699 24.732886]]]
Fri Apr 30 15:47:44 +0000 2021,EkLovya_kaushik,no coordinates,#RohitSardanaCan't believe that now we are use thePast tense for him.Ohhh mere baghwaan kuch to rahmm krVery sa… https://t.co/17g6RgFAdr,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:47:46 +0000 2021,nagihamad,no coordinates,اليوم ..٣٠ أبريل ٢٠٢١م https://t.co/eqqrdM8abD,البريمي,[[[55.415356 17.784119] [55.415356 24.313894] [59.731875 24.313894] [59.731875 17.784119]]]
Fri Apr 30 15:47:48 +0000 2021,nouraaljarrah,no coordinates,وداعيّة ابريل 🌄 https://t.co/PuuUILiUf5,khorfakkan,[[[55.480215 25.314011] [55.480215 25.314011] [55.480215 25.314011] [55.480215 25.314011]]]
Fri Apr 30 15:47:49 +0000 2021,MardomPesare,no coordinates,@inotherhand مرد حسابی توخودت هم اولاش رفیق مابودی دیگه درحد لایک هم با هات کانکشن نیستیم متاسفانه,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:47:49 +0000 2021,emiratesrc,no coordinates,°°~ كن جزءاً بزرع الفرحة في قلوب الأطفال بتوفير كسوة العيد.كن_التغيير_في_رمضان ، لتروي ظمأهم، وتفرح أطفالهم، و… https://t.co/JaxYODP1HT,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:47:50 +0000 2021,fdb24,no coordinates,@_d2ts 🥳🥳♥️,الظاهرة,[[[55.211416 21.495041] [55.211416 24.312274] [57.006057 24.312274] [57.006057 21.495041]]]
Fri Apr 30 15:47:52 +0000 2021,majidyadollahz1,no coordinates,@foufooll وعده ما ارتفاعات هاشمیه,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:47:52 +0000 2021,psrx,no coordinates,@faizalii10 Wishing you and your family Happy Eid In Advance ❤️✨♥️,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:47:53 +0000 2021,emiratesrc,no coordinates,Be the reason behind the joy of the children by providing Eid clothing #Be_thechange_inRamadan to quench their th… https://t.co/LfUZfKtTaX,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:48:03 +0000 2021,MrTech02,no coordinates,@sajidsultan فیشن ہے بھائی، ہزار روپے کا کافی کا کپ پی کر آتے ہیں اور فوٹو اپ لوڈ کرتے ہیں وہاں کچھ مشکل نہیں لگتا،… https://t.co/5mpwP3bG9n,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:48:05 +0000 2021,itshud__,no coordinates,@Arkeem_ ♥️♥️♥️♥️♥️♥️.,Al Buraymi,[[[55.415356 17.784119] [55.415356 24.313894] [59.731875 24.313894] [59.731875 17.784119]]]
Fri Apr 30 15:48:10 +0000 2021,kija_mazeni,no coordinates,@roza_____r 😅🤦‍♀️والا,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:11 +0000 2021,Mohsentinaa,no coordinates,@sghatilpersian @arashmidos9 @bolfazl80 @IsraelPersian از یه بهائی چه انتظاری داری دوست گرامی اینها همیشه خایه لیسی… https://t.co/CfjakTMTzI,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:17 +0000 2021,ll_67ll,no coordinates,اللهُم م في يوم الجمعة أرزقنا حلو الحياة ، وخير العطاء وسعة الرزق ، وراحة البال ولباس العافية ، وحسن الخاتمة وارحم… https://t.co/plC3mEzHxL,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:48:17 +0000 2021,Legend7716,no coordinates,@roxinism Yes,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:22 +0000 2021,bahadorany,no coordinates,@Matin98836578 @Mamareza416 @NaserESP برای دوستمه،،،الان رشته,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:30 +0000 2021,bibilibo,no coordinates,@aactlikeahuman تو استیج با اون پسر رپره پارتی داشتن اومدن بالا,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:30 +0000 2021,Mahsai74,no coordinates,آمد امّا دِل❤ مُرده بود,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:32 +0000 2021,YousufSab,no coordinates,شكلي وانا انتظر مسؤولي يخلص محاضرته,Al Dakhiliyah,[[[55.078816 17.045778] [55.078816 23.534732] [58.140334 23.534732] [58.140334 17.045778]]]
Fri Apr 30 15:48:33 +0000 2021,54Ech,no coordinates,أنت وّجهك لا لفاني .. بارك الله بساعته,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Fri Apr 30 15:48:36 +0000 2021,msboojari,no coordinates,@sepehrifar @KarimkhanF چه انتظاری داری شما خب؟ :))),Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:37 +0000 2021,ll_67ll,no coordinates,اللهم لا تدخل اليأس الى قلوبنا ،ولا تجعلنا من القانطين من رحمتك,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:48:45 +0000 2021,majidyadollahz1,no coordinates,@foufooll به صرف چی ؟,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:46 +0000 2021,Ahmed__AlAmeeri,no coordinates,🤔 https://t.co/nm0ONz8Ohm,Burj Khalifa,[[[55.274169 25.197267] [55.274169 25.197267] [55.274169 25.197267] [55.274169 25.197267]]]
Fri Apr 30 15:48:46 +0000 2021,hamidreza_main,no coordinates,@ta_eslahgara میدادیش به من این چه کاریه😅,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:48 +0000 2021,Kevinds0uza,no coordinates,@hnshah Hiren you keep posting the same question every week. Please fire your pr person,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:48:49 +0000 2021,MardomPesare,no coordinates,@myhobout بازم میخوای طوطی آواز خون نشون دختر مردن بدی ؟🥲,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:48:54 +0000 2021,ll_67ll,no coordinates,اللهم في يوم الجمعة نسالك اياماً مبشرة، وهموماً راحلة، وقلوباً مطمئنه♥️.,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:48:55 +0000 2021,nxL52ePNB0nb2pU,no coordinates,@abadyqa صح ومليون صح,Sharjah,[[[55.009127 24.732886] [55.009127 25.899765] [56.381699 25.899765] [56.381699 24.732886]]]
Fri Apr 30 15:49:01 +0000 2021,ll_67ll,no coordinates,اللهم عطّر قبور موتانا برائحه الجنة اللهم ارحم تلِك النفوس الطيبه واغفر لهم واجعلهم من الضاحكين المستبشرين بالجنه♥️.,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:49:02 +0000 2021,xvi611,no coordinates,المهمة طويلة وأولها حب ذواتنا، حب ذواتنا أول خطوة للاعتراف بفاعليتنا في عالم يسلبنا الفاعلية.,Ajman,[[[55.422846 24.742239] [55.422846 25.451327] [56.101503 25.451327] [56.101503 24.742239]]]
Fri Apr 30 15:49:04 +0000 2021,ukashyap1,no coordinates,LiveTV -https://t.co/fQxdV3JyNm,,
Download the Zee News App now:https://t.co/XVRt9XYCe5,,,,,
#NAME?,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]],,,
Fri Apr 30 15:49:05 +0000 2021,Mohamed60530352,no coordinates,أذكروني بدعوة فى هذه الأيام المباركات  لعلي أسعد بها طوال عمري.❤️,أبوظبي,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:49:09 +0000 2021,ll_67ll,no coordinates,اللهم اجبر خاطري جبرًا أنت وليّه.. فإنه لايعجزك شيئًا في الأرض ولا في السماء، ربي اشرح صدري وأرح قلبي وأزح من قلبي… https://t.co/OSyJOYHJKU,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:49:12 +0000 2021,NasrtullahWisal,no coordinates,@Muhamma76424963 @MusakhilNoor @KamilLala6 @MkJawHer @Yousafadil6 همداسی دهمه هم انفالو کول شورع کړی دی ورورجان لا… https://t.co/7HwyJfgYNJ,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:49:13 +0000 2021,MardomPesare,no coordinates,@inotherhand 🖤⚘,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:49:15 +0000 2021,bibilibo,no coordinates,@callmehniw اسمش #رضا_پهلوانی عه تو استیج شبکه #منوتو بود,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:49:16 +0000 2021,Jayney_M,no coordinates,It’s been a while ..... https://t.co/0VaM1GfL02,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Fri Apr 30 15:49:17 +0000 2021,ll_67ll,no coordinates,اللهم حبب الينا الايمان وزينه في قلوبنا وكره الينا الكفر والفسوق والعصيان♥️.,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:49:22 +0000 2021,MSherif9810,no coordinates,@drahmedelnagga3 @Nadaaa237 ♥️♥️♥️♥️♥️♥️♥️♥️♥️,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:49:25 +0000 2021,salemms_,no coordinates,@kittyxbanks pleaaaase 😭😭😭😭,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
