date,user,coordinates,text,place,bounding_box
Mon May 17 03:05:47 +0000 2021,BaloutHastam,no coordinates,برای این زن شراب نریزیدمی ترسم سیاه مست شوممی ترسم فراموش شومبرای این زنباغی از گلهای وحشی بیاوریدپرندگان مهاج… https://t.co/mzB0d8XpA3,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:05:51 +0000 2021,earthshook,[56.8945 37.2002],Mb 4.4 earthquake (reviewed) occured at 2021-05-17T02:47:00 UTC 49 km SW of Bojnūrd Iran https://t.co/TQCMENoLVY,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:06:03 +0000 2021,Majid__Ahangari,no coordinates,@Persian_TA چه کاریه خرید آلتهایی که با بیت بالا و پایین بره 🤣؟,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:06:03 +0000 2021,QuakesToday,[56.895 37.2],4.4 magnitude #earthquake. 49 km from #Bojnūrd Khorāsān-e Shomālī Iran https://t.co/haiCa6ARNk,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:06:05 +0000 2021,eq_map,[56.8945 37.2002],【M4.4】NORTHEASTERN IRAN 10.0km 2021/05/17 11:47:00JST 2021/05/17 02:47:00UTC(G)https://t.co/sdJ7LMB2vN (USGS)https://t.co/SoMj53XBsh,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:06:05 +0000 2021,eq_map_ww,[56.8945 37.2002],M4.4 NORTHEASTERN IRAN Depth 10.0km May 17 2021 02:47:00 UTC May 17 2021 06:17:00 at epicenter https://t.co/n0Bc1k1iii,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:06:05 +0000 2021,eq_map_es,[56.8945 37.2002],【M4.4】PARTE NORESTE DE IRAN 10.0km 17/05/2021 02:47:00 UTC #Sismo #Terremoto(G)https://t.co/7MIiChyoLg (USGS)https://t.co/UaNUQy0uGV,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:06:10 +0000 2021,aaihan026,no coordinates,@lili_eli3 تامبوی چیه؟,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:08:01 +0000 2021,eissaalnuaiimii,no coordinates,Wallah Days,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:08:03 +0000 2021,gayakhit,[54.4958891 24.3702322],Just posted a video @ Point to Point Advertising Designs https://t.co/dbm2B61hfn,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:08:05 +0000 2021,AliOmran833,no coordinates,@kareemKokash الشرائع بكافة أنواعها وأشكالها تعبر عن احتياجات ورغبات و تطلعات واضعها,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Mon May 17 03:08:42 +0000 2021,chanezh0111,no coordinates,@mohammed9427 صحيح كم هي جميلة تلك الأرواح🌷,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:08:58 +0000 2021,LauraKingDXB,no coordinates,@333peterobinson Yes I see that now.,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:08:59 +0000 2021,loey_ck,no coordinates,Hoy bat ang gwapo ni mark dito!!!!!,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:09:01 +0000 2021,leon_nader,no coordinates,@fiona1378 ۱۸۵ قبول نیست؟؟🙄,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:09:05 +0000 2021,chanezh0111,no coordinates,@Raheelalgawafei ما يوحشك غالي يا رب .... 🌷,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:09:25 +0000 2021,jetsetjrrr,no coordinates,@kentsugii havey,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:09:30 +0000 2021,AtinQATARofc,no coordinates,Congratulations ALAB MV for reaching 10M views today! As we celebrate this let us not forget to vote SB19 on the… https://t.co/PTZbFHArwg,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Mon May 17 03:09:44 +0000 2021,jetsetjrrr,no coordinates,@ahrmandx BABY NEED NATIN NG FGD. WE NEED THERAPY!!!,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:09:50 +0000 2021,catppoo,no coordinates,I need new friends dmme your snapchat lets be friends 🏃‍♀️🏃‍♀️,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:10:07 +0000 2021,Majid__Ahangari,no coordinates,@MISS_Maryam2 @cz_binance @BinanceChain network fee😁. use TRC 20 instead of it.,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:10:08 +0000 2021,Ali_A_Obeid,no coordinates,@beebo70 طولي ١٦٨ ونص 😁وزني ٦٥ كجم ☺️,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
